os,channel,current_version,previous_version,current_reldate,previous_reldate,branch_base_commit,branch_base_position,branch_commit,true_branch,v8_version
linux,dev,91.0.4469.4,91.0.4464.5,04/08/21,04/01/21,8563c4cd2f6a2323d29efc31eced6a9ee1e39b10,869727,ba2934983bf5aa1129e1153153f46c1041d99129,4469,9.1.256
linux,beta,90.0.4430.72,90.0.4430.70,04/14/21,04/12/21,e5ce7dc4f7518237b3d9bb93cccca35d25216cbe,857950,a61a9155e10f7ba0147e2e7041f28d388d752a81,4430,9.0.257.17
linux,stable,90.0.4430.72,89.0.4389.128,04/14/21,04/13/21,e5ce7dc4f7518237b3d9bb93cccca35d25216cbe,857950,a61a9155e10f7ba0147e2e7041f28d388d752a81,4430,9.0.257.17
mac,beta,90.0.4430.72,90.0.4430.70,04/14/21,04/12/21,e5ce7dc4f7518237b3d9bb93cccca35d25216cbe,857950,a61a9155e10f7ba0147e2e7041f28d388d752a81,4430,9.0.257.17
mac,dev,91.0.4469.4,91.0.4464.5,04/08/21,04/01/21,8563c4cd2f6a2323d29efc31eced6a9ee1e39b10,869727,ba2934983bf5aa1129e1153153f46c1041d99129,4469,9.1.256
mac,stable,90.0.4430.72,89.0.4389.128,04/14/21,04/13/21,e5ce7dc4f7518237b3d9bb93cccca35d25216cbe,857950,a61a9155e10f7ba0147e2e7041f28d388d752a81,4430,9.0.257.17
win,canary_asan,92.0.4478.1,92.0.4477.1,04/15/21,04/14/21,2a449a1319f6373a34dfcf6c8f675189dcec1efa,872619,c35474905dde7909d4309fd732c6be2b8ce8a21c,4478,9.2.35
win,canary,92.0.4478.0,92.0.4477.0,04/15/21,04/14/21,2a449a1319f6373a34dfcf6c8f675189dcec1efa,872619,6c6d13e046bda37af3a57c347729442b6d0e830b,4478,9.2.35
win,dev,91.0.4469.4,91.0.4464.5,04/08/21,04/01/21,8563c4cd2f6a2323d29efc31eced6a9ee1e39b10,869727,ba2934983bf5aa1129e1153153f46c1041d99129,4469,9.1.256
win,beta,90.0.4430.72,90.0.4430.70,04/14/21,04/12/21,e5ce7dc4f7518237b3d9bb93cccca35d25216cbe,857950,a61a9155e10f7ba0147e2e7041f28d388d752a81,4430,9.0.257.17
win,stable,90.0.4430.72,89.0.4389.128,04/14/21,04/13/21,e5ce7dc4f7518237b3d9bb93cccca35d25216cbe,857950,a61a9155e10f7ba0147e2e7041f28d388d752a81,4430,9.0.257.17
win64,canary_asan,92.0.4478.1,92.0.4477.1,04/15/21,04/14/21,2a449a1319f6373a34dfcf6c8f675189dcec1efa,872619,c35474905dde7909d4309fd732c6be2b8ce8a21c,4478,9.2.35
win64,dev,91.0.4469.4,91.0.4464.5,04/08/21,04/01/21,8563c4cd2f6a2323d29efc31eced6a9ee1e39b10,869727,ba2934983bf5aa1129e1153153f46c1041d99129,4469,9.1.256
win64,beta,90.0.4430.72,90.0.4430.70,04/14/21,04/12/21,e5ce7dc4f7518237b3d9bb93cccca35d25216cbe,857950,a61a9155e10f7ba0147e2e7041f28d388d752a81,4430,9.0.257.17
win64,stable,90.0.4430.72,89.0.4389.128,04/14/21,04/13/21,e5ce7dc4f7518237b3d9bb93cccca35d25216cbe,857950,a61a9155e10f7ba0147e2e7041f28d388d752a81,4430,9.0.257.17
mac_arm64,canary,92.0.4478.0,92.0.4477.0,04/15/21,04/14/21,2a449a1319f6373a34dfcf6c8f675189dcec1efa,872619,6c6d13e046bda37af3a57c347729442b6d0e830b,4478,9.2.35
mac_arm64,dev,91.0.4469.4,91.0.4464.5,04/08/21,04/01/21,8563c4cd2f6a2323d29efc31eced6a9ee1e39b10,869727,ba2934983bf5aa1129e1153153f46c1041d99129,4469,9.1.256
cros,dev,91.0.4468.3,91.0.4456.0,04/09/21,03/25/21,6ff41c38d3bed5c50d095c1758116413c31e287e,869340,8046a1e1eed31c1bd7612cefa0f7b4801f043a75,4468,9.1.247
cros,beta,90.0.4430.73,90.0.4430.58,04/14/21,04/08/21,e5ce7dc4f7518237b3d9bb93cccca35d25216cbe,857950,e459929d798915487c45d753e25fb36c7ba5e558,4430,9.0.257.17
mac,canary,92.0.4478.0,92.0.4477.0,04/15/21,04/14/21,2a449a1319f6373a34dfcf6c8f675189dcec1efa,872619,6c6d13e046bda37af3a57c347729442b6d0e830b,4478,9.2.35
